created_date,address,borough,status,latitude,longitude
2026-03-20 16:24:00,765 MCDONALD AVENUE,BROOKLYN,Closed,40.63512143981,-73.97793916281
2026-03-20 16:19:00,179-06 114 ROAD,QUEENS,Started,40.69414414487,-73.769445082
2026-03-20 15:41:00,90 CLAY STREET,BROOKLYN,Closed,40.73660811503,-73.95489457983
2026-03-20 15:04:00,2167 EAST   19 STREET,BROOKLYN,Closed,40.59793271253,-73.95234517012
2026-03-20 14:33:00,163 OCEAN AVENUE,BROOKLYN,Closed,40.65910413381,-73.9625771638
2026-03-20 13:23:00,1074 70 STREET,BROOKLYN,Closed,40.62622455077,-74.00959336562
2026-03-20 12:37:00,854 FLUSHING AVENUE,BROOKLYN,Closed,40.70170597381,-73.93772218778
2026-03-20 12:32:00,,STATEN ISLAND,Closed,40.5741600204,-74.11668293093
2026-03-20 12:17:00,26-26 141 STREET,QUEENS,Closed,40.77438859688,-73.8283865241
2026-03-20 11:12:00,175 3 STREET,BROOKLYN,Started,40.67582818449,-73.9895378695
2026-03-20 10:35:00,88-08 209 STREET,QUEENS,Closed,40.7222498405,-73.75705291544
2026-03-20 10:12:00,3826 PRATT AVENUE,BRONX,Closed,40.88884122131,-73.83446730959
2026-03-20 10:07:00,2126 MENAHAN STREET,QUEENS,Open,40.70942440892,-73.905670714
2026-03-20 10:04:00,130-07 97 AVENUE,QUEENS,Closed,40.6937310406,-73.81763152576
2026-03-20 09:46:00,248 WINDSOR PLACE,BROOKLYN,Started,40.65778488527,-73.97673868786
2026-03-20 09:22:00,1647 HONE AVENUE,BRONX,Closed,40.84653741785,-73.85289037342
2026-03-20 08:36:00,,QUEENS,Closed,40.7174001711,-73.85719404881
2026-03-20 08:33:00,1616 ATLANTIC AVENUE,BROOKLYN,Open,40.67779893266,-73.93755704002
2026-03-20 06:47:00,,QUEENS,Closed,40.72135383736,-73.81901341623
2026-03-20 05:37:00,1218 55 STREET,BROOKLYN,Started,40.63262027573,-73.99720782168
2026-03-19 21:43:00,144-49 77 AVENUE,QUEENS,Closed,40.72165694111,-73.81802049439
2026-03-19 20:34:00,5117 20 AVENUE,BROOKLYN,Closed,40.62412581318,-73.97793199012
2026-03-19 19:23:00,3100 BRIGHTON    2 STREET,BROOKLYN,Closed,40.57628078577,-73.96500661788
2026-03-19 18:25:00,166 SAND LANE,STATEN ISLAND,Closed,40.59561848192,-74.06984500157
2026-03-19 18:07:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-19 17:34:00,65-48 79 PLACE,QUEENS,Closed,40.71682332403,-73.87322281453
2026-03-19 17:20:00,88-12 209 STREET,QUEENS,Closed,40.7222058484,-73.75701699913
2026-03-19 16:15:00,90 CLAY STREET,BROOKLYN,Closed,40.73660811503,-73.95489457983
2026-03-19 15:26:00,144-44 77 AVENUE,QUEENS,Closed,40.72162407819,-73.81806748331
2026-03-19 15:14:00,,BROOKLYN,Closed,40.63436714417,-73.88882512911
2026-03-19 14:39:00,1441 SOUTH AVENUE,STATEN ISLAND,Closed,40.60588666666,-74.18073118339
2026-03-19 12:23:00,192 BROOKLYN AVENUE,BROOKLYN,Closed,40.67336699039,-73.94461619923
2026-03-19 11:42:00,89-09 PONTIAC STREET,QUEENS,Closed,40.72931069662,-73.7340474802
2026-03-19 11:31:00,2606 VOORHIES AVENUE,BROOKLYN,Closed,40.5869025991,-73.94300654564
2026-03-19 10:41:00,91-41 QUEENS BOULEVARD,QUEENS,Closed,40.73327693522,-73.86966624309
2026-03-19 10:29:00,,QUEENS,Closed,40.71645668932,-73.85777324586
2026-03-19 09:42:00,152 BEACH   67 STREET,QUEENS,Open,40.58954323153,-73.79580541443
2026-03-19 08:50:00,84-50 160 STREET,QUEENS,Closed,40.71308268139,-73.80485248957
2026-03-19 08:45:00,314 COVERT STREET,BROOKLYN,Closed,40.6929750778,-73.90574447104
2026-03-19 08:37:00,169-10 73 AVENUE,QUEENS,Closed,40.72840973977,-73.80021823106
2026-03-19 03:51:00,869 FLUSHING AVENUE,BROOKLYN,Closed,40.70182379122,-73.93733978325
2026-03-18 22:53:00,,BROOKLYN,Closed,40.70023365307,-73.95987086642
2026-03-18 22:11:00,250 WEST BROADWAY,MANHATTAN,Closed,40.71991221785,-74.0057828698
2026-03-18 18:44:00,26 EUNICE PLACE,STATEN ISLAND,Started,40.6248035061,-74.15254323036
2026-03-18 18:18:00,67-14 BURNS STREET,QUEENS,Closed,40.72278066561,-73.85560235146
2026-03-18 18:13:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-18 17:56:00,88-08 192 STREET,QUEENS,Open,40.71596870978,-73.7698782218
2026-03-18 17:30:00,,QUEENS,Closed,40.70247838203,-73.73430239557
2026-03-18 16:17:00,4310 FLATLANDS AVENUE,BROOKLYN,Closed,40.62224515241,-73.93379062564
