asset_id,gi_id,borough,sewer_type,asset_type,status,status_group,constructed_date,outfall,nyc_waters,latitude,longitude
172814,4031B,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.65567603831795,-73.94137663831555
108421,2496b,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2022-08-31,TI-010,Flushing Creek,40.76089871291733,-73.8122474370544
148023,B-1a,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2017-12-22,JAM-003,Jamaica Bay and Tributaries,40.70885630983828,-73.83431840315482
146351,1065a,Queens,Combined,ROWRG,Constructed (Full Maintenance),Constructed,2021-10-31,TI-010,Flushing Creek,40.72815146037172,-73.81773172694783
94420,361C,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2020-10-14,JAM-003,Jamaica Bay and Tributaries,40.69216837633409,-73.82225601157367
142213,Q157-01PPa,Queens,Combined,Permeable Pavers,Constructed,Constructed,2013-09-01,BB-006,Flushing Bay,40.73268425489873,-73.8522818561009
181655,2396e-a,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2021-07-21,26W-005,Jamaica Bay and Tributaries,40.668948709391934,-73.87945840530462
167775,2397b,Queens,Combined,ROWRG,Constructed (Full Maintenance),Constructed,2022-08-31,TI-010,Flushing Creek,40.76070176808364,-73.80859828810547
187187,X201-01STa,Bronx,Combined,Synthetic Turf Field Storage Layer,Constructed,Constructed,2019-10-01,WIB-055,East River / Open Waters,40.885796698908216,-73.9164627014467
107387,2056-1c,Queens,Combined,ROWB,Constructed (Full Maintenance),Constructed,2022-08-31,TI-010,Flushing Creek,40.76603956951562,-73.79666543364293
173120,IB4101B,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2024-04-30,CI-005,Jamaica Bay and Tributaries,40.651639608353655,-73.93805463256729
182085,IB2526d,Brooklyn,Combined,ROW Infiltration Basin with Concrete Top,Constructed (Full Maintenance),Constructed,2021-07-21,26W-005,Jamaica Bay and Tributaries,40.663356297248434,-73.88119570379278
118071,201b,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-01-15,26W-003,Jamaica Bay and Tributaries,40.67446921588091,-73.89853625144495
118442,451,Brooklyn,Combined,ROWB,Constructed (Full Maintenance),Constructed,2016-01-15,26W-003,Jamaica Bay and Tributaries,40.667125345691055,-73.89922715609585
