SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,DEC Region,County,Latitude,Longitude
NY0026158,21,NY0026158-021,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.746576,-73.958752
NY0026204,71,NY0026204-071,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.709666,-74.018453
NY0026247,20,NY0026247-020,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.738236,-74.011078
NY0026221,13,NY0026221-013,NYCDEP - Rockaway WWTP,NYC DEP,Jamaica Bay,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.588526,-73.818172
NY0026131,30,NY0026131-030,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.795985,-73.929224
NY0026131,35,NY0026131-035,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.801054,-73.929038
NY0027073,33,NY0027073-033,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.681317,-73.986912
NY0026158,13,NY0026158-013,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.73962,-73.952754
NY0026158,12,NY0026158-012,NYCDEP - Bowery Bay WPCP,NYC DEP,Newtown Creek,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.734314,-73.940398
NY0026247,8,NY0026247-008,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.868793,-73.911323
NY0026131,42,NY0026131-042,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.81783,-73.933789
NY0026247,28,NY0026247-028,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.75951,-74.006784
NY0026158,33,NY0026158-033,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.775879,-73.937075
NY0026221,31,NY0026221-031,NYCDEP - Rockaway WWTP,NYC DEP,Mott Basin,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Queens,40.610375,-73.755786
NY0026247,48,NY0026247-048,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.762219,-74.001839
NY0026166,6,NY0026166-006,NYCDEP - Owls Head WPCP,NYC DEP,Gowanus Canal,16,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Kings,40.667487,-74.000313
NY0026191,26,NY0026191-026,NYCDEP - Hunt's Point WPCP,NYC DEP,East River,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.824069,-73.813915
NY0026191,36,NY0026191-036,NYCDEP - Hunt's Point WPCP,NYC DEP,Long Island Sound,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Bronx,40.845723,-73.782604
NY0026174,1,NY0026174-001,NYCDEP - Oakwood Beach WPCP,NYC DEP,Lower Bay,1,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.547506,-74.112502
NY0026107,023B,NY0026107-023B,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.611932,-74.060018
NY0026131,16,NY0026131-016,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,New York,40.782025,-73.943803
NY0026107,20,NY0026107-020,NYCDEP - Port Richmond WPCF,NYC DEP,Upper New York Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,2,Richmond,40.617239,-74.064707
