Unique Key,Created Date,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Year,Month,Year_Month
45370807,2020-01-12 12:53:00,BROOKLYN,"989,152","168,146",40.62819709857,-73.98234019212,POINT (-73.982340192119 40.628197098575),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45373821,2020-01-12 15:07:00,BROOKLYN,"989,193","168,116",40.62811473211,-73.98219250864,POINT (-73.982192508642 40.62811473211),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45372957,2020-01-12 16:08:00,BROOKLYN,"998,589","204,547",40.72809933203,-73.94826527624,POINT (-73.948265276238 40.728099332034),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45371928,2020-01-12 16:23:00,BROOKLYN,"982,836","160,501",40.6072144036,-74.00509243573,POINT (-74.005092435728 40.607214403603),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45371358,2020-01-12 17:28:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45370808,2020-01-12 18:25:00,QUEENS,"1,035,254","190,311",40.68888954376,-73.81608703632,POINT (-73.816087036319 40.688889543761),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45373295,2020-01-12 20:02:00,BROOKLYN,"987,306","159,532",40.60455428237,-73.98899443879,POINT (-73.988994438792 40.604554282374),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45370804,2020-01-12 22:34:00,QUEENS,"1,042,956","153,893",40.5888824847,-73.78863171569,POINT (-73.788631715692 40.588882484697),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45371919,2020-01-12 22:52:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45381574,2020-01-13 08:23:00,BROOKLYN,"982,836","160,501",40.6072144036,-74.00509243573,POINT (-74.005092435728 40.607214403603),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45374510,2020-01-13 09:24:00,QUEENS,"1,031,784","193,484",40.69761799453,-73.82857692553,POINT (-73.828576925532 40.697617994527),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45376036,2020-01-13 09:27:00,BROOKLYN,"1,005,495","181,419",40.66460448345,-73.92342157452,POINT (-73.92342157452 40.664604483447),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45376027,2020-01-13 09:33:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45375332,2020-01-13 10:15:00,QUEENS,"1,042,926","154,390",40.59024684504,-73.78873541323,POINT (-73.78873541323 40.590246845039),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45379397,2020-01-13 10:17:00,BROOKLYN,"988,792","168,436",40.62899327937,-73.98363692285,POINT (-73.983636922846 40.628993279365),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45381588,2020-01-13 10:26:00,BROOKLYN,"1,002,863","152,091",40.58411121981,-73.93298958587,POINT (-73.932989585866 40.58411121981),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45376919,2020-01-13 10:36:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45381965,2020-01-13 11:46:00,QUEENS,"1,022,382","205,327",40.7301696697,-73.86241645346,POINT (-73.862416453464 40.730169669701),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45380148,2020-01-13 12:01:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45375328,2020-01-13 12:29:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45379401,2020-01-13 12:35:00,QUEENS,"1,038,724","156,919",40.5972152449,-73.80384438943,POINT (-73.803844389433 40.597215244904),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45376158,2020-01-13 13:08:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45380193,2020-01-13 14:12:00,BROOKLYN,"982,836","160,501",40.6072144036,-74.00509243573,POINT (-74.005092435728 40.607214403603),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45375337,2020-01-13 14:42:00,BROOKLYN,"1,011,119","191,012",40.69091980262,-73.90311141744,POINT (-73.903111417442 40.69091980262),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45377988,2020-01-13 21:10:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45380200,2020-01-13 21:59:00,BROOKLYN,"986,048","191,395",40.69201165248,-73.99351637617,POINT (-73.993516376166 40.692011652485),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45389165,2020-01-14 07:51:00,QUEENS,"1,039,657","190,901",40.69048248535,-73.80020566286,POINT (-73.800205662865 40.69048248535),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45391304,2020-01-14 08:40:00,QUEENS,"1,041,061","189,248",40.68593649136,-73.79515687952,POINT (-73.795156879518 40.68593649136),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45391265,2020-01-14 08:46:00,BRONX,"1,016,692","256,608",40.87094453778,-73.88269866955,POINT (-73.882698669554 40.87094453778),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45387059,2020-01-14 09:10:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45388119,2020-01-14 09:26:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45384847,2020-01-14 09:51:00,BROOKLYN,"986,070","191,447",40.69215437598,-73.99343702968,POINT (-73.993437029679 40.69215437598),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45387056,2020-01-14 10:10:00,BROOKLYN,"985,987","191,221",40.69153407483,-73.99373638825,POINT (-73.993736388247 40.691534074828),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45385921,2020-01-14 10:10:00,BROOKLYN,"981,083","175,211",40.64758980575,-74.01141266163,POINT (-74.011412661626 40.647589805753),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
45383804,2020-01-14 11:28:00,BROOKLYN,"997,551","188,410",40.68380870135,-73.95204222668,POINT (-73.952042226683 40.683808701352),Water System,Possible Water Main Break (Use Comments) (WA1),2020,1,2020-01
